iter	Passed	Remaining
0	149	149337
1	152	76164
2	154	51342
3	156	39076
4	159	31772
5	163	27108
6	165	23484
7	167	20800
8	169	18656
9	176	17484
10	181	16303
11	187	15443
12	191	14524
13	195	13772
14	197	12943
15	199	12241
16	200	11587
17	201	11012
18	204	10566
19	209	10256
20	211	9844
21	212	9454
22	214	9120
23	216	8819
24	219	8576
25	222	8331
26	223	8064
27	225	7821
28	226	7597
29	228	7394
30	236	7389
31	238	7200
32	239	7023
33	242	6899
34	244	6747
35	247	6615
36	251	6549
37	255	6466
38	257	6345
39	259	6216
40	261	6111
41	264	6031
42	268	5975
43	269	5865
44	274	5822
45	278	5778
46	287	5821
47	289	5734
48	291	5657
49	294	5602
50	301	5610
51	303	5530
52	305	5458
53	307	5385
54	312	5373
55	316	5329
56	318	5267
57	319	5196
58	321	5134
59	324	5082
60	326	5027
61	328	4970
62	331	4924
63	332	4863
64	334	4811
65	337	4769
66	340	4735
67	342	4691
68	344	4646
69	345	4593
70	347	4540
71	348	4495
72	350	4451
73	353	4424
74	355	4385
75	357	4342
76	358	4298
77	359	4252
78	361	4210
79	362	4170
80	364	4137
81	366	4107
82	368	4073
83	370	4038
84	371	4003
85	373	3974
86	375	3937
87	376	3902
88	377	3868
89	379	3838
90	382	3816
91	384	3796
92	387	3774
93	388	3748
94	392	3735
95	395	3721
96	398	3707
97	401	3697
98	403	3669
99	405	3647
100	406	3622
101	409	3601
102	414	3610
103	416	3586
104	417	3559
105	418	3533
106	420	3508
107	421	3484
108	423	3461
109	424	3438
110	427	3421
111	428	3401
112	431	3383
113	432	3360
114	433	3338
115	435	3317
116	436	3297
117	438	3277
118	440	3264
119	443	3250
120	445	3235
121	446	3213
122	447	3193
123	449	3176
124	451	3158
125	452	3140
126	456	3134
127	458	3126
128	460	3112
129	462	3094
130	463	3077
131	465	3059
132	466	3043
133	468	3029
134	475	3045
135	476	3029
136	478	3012
137	479	2995
138	482	2989
139	484	2976
140	486	2961
141	488	2954
142	490	2940
143	492	2927
144	494	2914
145	495	2899
146	497	2885
147	499	2876
148	502	2869
149	504	2859
150	506	2850
151	508	2835
152	509	2823
153	512	2813
154	513	2801
155	516	2796
156	518	2785
157	520	2773
158	521	2759
159	522	2745
160	524	2733
161	526	2721
162	528	2714
163	532	2715
164	535	2711
165	537	2702
166	538	2688
167	540	2674
168	543	2673
169	546	2666
170	549	2663
171	551	2655
172	553	2644
173	554	2633
174	557	2627
175	560	2622
176	562	2616
177	564	2608
178	566	2600
179	568	2589
180	569	2578
181	571	2569
182	573	2561
183	576	2556
184	580	2558
185	582	2548
186	583	2538
187	586	2531
188	588	2523
189	590	2516
190	592	2510
191	595	2505
192	596	2494
193	598	2485
194	599	2476
195	601	2468
196	605	2466
197	607	2458
198	608	2450
199	610	2443
200	612	2433
201	613	2424
202	616	2419
203	619	2415
204	620	2407
205	622	2398
206	623	2390
207	625	2380
208	626	2370
209	627	2360
210	630	2356
211	632	2349
212	634	2345
213	637	2342
214	640	2337
215	642	2330
216	643	2321
217	644	2312
218	646	2303
219	648	2299
220	650	2292
221	651	2284
222	653	2276
223	654	2268
224	655	2258
225	656	2250
226	658	2241
227	660	2235
228	662	2230
229	663	2222
230	665	2216
231	667	2209
232	668	2201
233	669	2192
234	671	2184
235	673	2180
236	675	2175
237	677	2167
238	678	2160
239	679	2153
240	681	2144
241	682	2137
242	683	2129
243	685	2122
244	686	2115
245	687	2108
246	689	2101
247	690	2095
248	693	2090
249	694	2082
250	695	2075
251	696	2067
252	698	2062
253	699	2055
254	701	2048
255	702	2041
256	705	2038
257	707	2034
258	709	2030
259	710	2023
260	712	2017
261	714	2011
262	715	2005
263	717	1999
264	719	1994
265	720	1988
266	721	1981
267	723	1975
268	724	1968
269	725	1962
270	727	1957
271	728	1950
272	730	1944
273	731	1938
274	733	1933
275	735	1928
276	736	1922
277	737	1915
278	738	1909
279	740	1903
280	741	1897
281	743	1893
282	745	1888
283	747	1883
284	750	1882
285	755	1886
286	756	1880
287	760	1880
288	763	1878
289	767	1878
290	769	1875
291	772	1873
292	774	1867
293	776	1863
294	782	1870
295	784	1866
296	786	1861
297	787	1855
298	790	1852
299	792	1848
300	794	1844
301	798	1845
302	800	1842
303	802	1837
304	803	1831
305	811	1839
306	812	1835
307	814	1830
308	816	1825
309	817	1819
310	818	1813
311	820	1809
312	824	1809
313	827	1807
314	829	1804
315	830	1798
316	832	1793
317	834	1789
318	837	1788
319	843	1792
320	845	1788
321	847	1784
322	848	1778
323	852	1779
324	856	1779
325	859	1777
326	861	1772
327	862	1766
328	863	1761
329	867	1760
330	869	1758
331	874	1759
332	876	1754
333	878	1750
334	882	1751
335	891	1762
336	893	1758
337	897	1758
338	900	1755
339	902	1752
340	904	1747
341	905	1742
342	906	1737
343	908	1731
344	909	1727
345	917	1734
346	919	1730
347	921	1725
348	922	1720
349	923	1715
350	925	1710
351	929	1710
352	931	1707
353	933	1702
354	934	1697
355	935	1692
356	936	1687
357	938	1682
358	939	1677
359	941	1673
360	943	1670
361	946	1667
362	948	1663
363	949	1659
364	950	1654
365	952	1649
366	954	1646
367	956	1642
368	959	1640
369	961	1637
370	964	1634
371	965	1629
372	967	1625
373	968	1621
374	970	1618
375	974	1616
376	975	1612
377	977	1607
378	978	1602
379	979	1598
380	980	1593
381	990	1601
382	992	1599
383	994	1594
384	996	1591
385	997	1587
386	1001	1586
387	1004	1583
388	1006	1580
389	1007	1575
390	1008	1571
